City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Maxixe,MZ,62.47,clear sky,-23.86,35.35,Oceano
325,Filadelfia,US,77.22,clear sky,39.95,-75.16,"The Ritz-Carlton, Philadelphia"
326,Bowen,AU,73.94,few clouds,-20.02,148.23,Castle Motor Lodge Motel
327,Atasu,KZ,70.63,clear sky,48.68,71.64,Dostyk
329,Teahupoo,PF,73.36,broken clouds,-17.83,-149.27,Vanira Lodge
335,Petrozavodsk,RU,60.26,clear sky,61.78,34.35,"Первый рыбный ресторан ""Фрегат"""
337,Sucua,EC,65.35,few clouds,-2.47,-78.17,Hotel Orellana
339,Silvan,TR,68.29,clear sky,38.14,41.01,Silvan Grand Otel
340,Soubre,CI,68.76,broken clouds,5.79,-6.61,Lynd Hotels Soubre
341,Praia,CV,74.48,scattered clouds,14.92,-23.51,LT Aparthotel
342,Warwick,US,70.09,overcast clouds,41.70,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
343,Humaita,BR,75.87,few clouds,-7.51,-63.02,Corrêa Hotel
344,Clinton,US,76.01,clear sky,42.59,-82.92,Hampton Inn Detroit/Roseville
345,Caloundra,AU,75.88,clear sky,-26.80,153.13,Watermark Resort Caloundra
351,Pemba,MZ,68.45,scattered clouds,-12.97,40.52,Guesthouse Samotina
353,Benalla,AU,57.85,light rain,-36.55,145.98,Rose City Motor Inn
355,Karcsa,HU,66.7,broken clouds,48.31,21.81,Karcsa
356,Asfi,MA,70.48,overcast clouds,32.30,-9.24,Hôtel Abda
357,Aguimes,ES,68.63,broken clouds,27.91,-15.45,Hotel Villa de Aguimes
359,Havre-Saint-Pierre,CA,56.07,broken clouds,50.23,-63.60,Auberge Niapiskau
360,Bud,US,75.97,clear sky,39.45,-86.18,Ted McQuinn Trust
364,Mahebourg,MU,68.25,moderate rain,-20.41,57.70,Shandrani Beachcomber Resort & Spa
365,Cururupu,BR,75.02,broken clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
367,Celina,US,74.53,clear sky,40.55,-84.57,Americas Best Value Inn Celina
368,Noumea,NC,77.0,few clouds,-22.28,166.46,Hôtel Le Lagon
370,Grong,NO,63.7,broken clouds,64.47,12.31,Grong Farm and Guesthouse
373,Durban,ZA,56.01,clear sky,-29.86,31.03,Hilton Durban
380,Chamonix-Mont-Blanc,FR,59.9,light rain,45.92,6.87,Hôtel Vallée Blanche
381,Ambovombe,MG,65.55,light rain,-25.17,46.08,RELAHARA
382,Juneau,US,60.22,light rain,58.30,-134.42,"Baranof Downtown, Bw Signature Collection"
384,Teshie,GH,75.18,overcast clouds,5.58,-0.11,Adinkra Lodge
385,Diffa,NE,75.18,overcast clouds,13.32,12.61,ProDAF/Diffa
386,Alingsas,SE,65.44,broken clouds,57.93,12.53,Grand Hotel Alingsås
388,Westport,US,77.76,broken clouds,41.14,-73.36,The Westport Inn
389,Covasint,RO,71.87,scattered clouds,46.20,21.60,Casa Schneider
390,Leh,IN,67.42,overcast clouds,34.17,77.58,Hotel Ladakh Greens
392,Bembereke,BJ,69.39,light rain,10.23,2.66,Hotel Bio Guera
396,Saint-Francois,FR,63.18,broken clouds,46.42,3.91,Manoir Du Bonheur
400,Ilovlya,RU,70.9,few clouds,49.30,43.98,"Tri Sosny, Baza Otdykha"
404,Toronto,CA,70.56,clear sky,43.70,-79.42,The Yorkville Royal Sonesta Hotel
406,Dniprovka,UA,72.7,clear sky,47.43,34.62,База отдыха Перлына
407,Hede,CN,77.36,light rain,33.77,120.25,Vienna 3 Best Hotel Sheyang Jiefang Rd
410,Jalu,LY,78.96,clear sky,29.03,21.55,صاحبة الفخامة
411,Huarmey,PE,65.26,scattered clouds,-10.07,-78.15,Hotel Miramar
412,Disraeli,CA,58.21,broken clouds,45.90,-71.35,Auberge De La Chanterelle
413,Caravelas,BR,70.11,clear sky,-17.71,-39.25,Pousada dos Navegantes
414,Gawler,AU,57.51,scattered clouds,-34.60,138.73,Eagle Foundry Bed & Breakfast
416,Newport,GB,60.82,broken clouds,51.59,-3.00,ibis budget Newport
420,Chumikan,RU,78.3,scattered clouds,54.72,135.31,Fortuna
421,Wakkanai,JP,76.03,clear sky,45.41,141.67,Hyōsetsu-sō
426,Kikwit,CD,63.23,clear sky,-5.04,18.82,HOTEL PLACE YALABA
430,Lobito,AO,69.1,scattered clouds,-12.35,13.55,Casa Rosa Hotel Residence
432,Krapkowice,PL,68.9,scattered clouds,50.48,17.97,Hotel ''Zamkowy Młyn''
434,Serebryansk,KZ,65.75,clear sky,49.69,83.29,"Gostinitsa ""Vodoley"""
435,Talas,TR,59.67,clear sky,38.69,35.55,Fimaj Residence
436,Bellavista,PE,69.91,broken clouds,-7.06,-76.59,Hospedaje Bella Durmiente
438,Camalu,MX,71.42,few clouds,30.85,-116.07,La Cueva del Pirata
439,Genhe,CN,69.48,overcast clouds,50.78,121.52,Companionship Hotel
441,Ambikapur,IN,72.43,overcast clouds,23.12,83.20,STARiHOTEL Ambikapur
443,Lexington,US,73.13,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
451,Lloydminster,CA,64.02,clear sky,53.28,-110.00,BCMInns - Lloydminster
452,Pivijay,CO,74.34,broken clouds,10.46,-74.62,Hospedaje La Posada
455,Boa Vista,PT,62.47,clear sky,41.07,-8.63,Requinte
456,Fairbanks,US,60.1,light rain,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
457,Rodino,RU,63.88,broken clouds,52.50,80.25,Hotel
459,Tabou,CI,76.33,overcast clouds,4.42,-7.35,hotêl doufoulougou
461,Ramsgate,GB,64.0,overcast clouds,51.34,1.42,The Pegwell Bay Hotel
463,Natal,BR,75.42,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
465,Homer,US,68.07,overcast clouds,59.64,-151.55,Beluga Lake Lodge
467,Sept-Iles,CA,59.05,overcast clouds,50.20,-66.38,Comfort Inn
469,Pangai,TO,72.27,light rain,-19.80,-174.35,Ha'apai Beach Resort
470,Bayir,TR,75.72,clear sky,37.27,28.22,Hotel Babadag
473,Pandrup,DK,60.71,overcast clouds,57.22,9.68,Eva Mose Design
474,Carballo,ES,64.09,broken clouds,43.21,-8.69,Pazo do Souto
475,Ghugus,IN,78.28,overcast clouds,19.93,79.13,Rajiv Colony Tempo Club
477,Knysna,ZA,54.57,light rain,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
480,Margate,GB,64.04,overcast clouds,51.38,1.39,Premier Inn Margate hotel
482,Soria,ES,59.02,scattered clouds,41.67,-2.67,Casa Rural Sierra de Inodejo
485,Alekseyevka,RU,72.55,broken clouds,50.63,38.69,Apartment on Ploshchad Pobedy
486,Gat,IL,77.92,clear sky,31.61,34.76,OlusHome
487,Kuopio,FI,64.35,clear sky,62.89,27.68,Hotel Jahtihovi
489,Jumla,NP,69.35,overcast clouds,29.27,82.18,"अन्नी घर, जुम्ला - Anni Ghar"
490,Krasnoselkup,RU,54.37,overcast clouds,65.70,82.47,Krasnosel'kupnefteprodukt
493,Yeppoon,AU,78.58,broken clouds,-23.13,150.73,Villa Mar Colina
494,Kushmurun,KZ,66.49,overcast clouds,52.45,64.63,Gostinitsa Pri Depo
495,Mandurah,AU,63.16,broken clouds,-32.55,115.70,Atrium Hotel Mandurah
499,Hauterive,FR,61.56,overcast clouds,46.09,3.45,Aletti Palace Hotel
500,Lumby,CA,78.42,scattered clouds,50.25,-118.97,Twin Creeks Motel
501,Pereslavl-Zalesskiy,RU,66.47,scattered clouds,56.74,38.86,Motel Navigator
503,Issoire,FR,60.06,overcast clouds,45.55,3.25,ACE Hôtel - Issoire
506,Kropotkin,RU,67.48,clear sky,45.44,40.58,Hotel Europe Kropotkin
507,Mawlaik,MM,76.41,overcast clouds,23.63,94.42,AKZ Guest House
508,Coahuayana,MX,78.06,overcast clouds,18.73,-103.68,El rranchito michuacan de ocampos
510,Belmonte,BR,68.5,clear sky,-15.86,-38.88,Pousada Monte Carmelo O Pão
511,Ayan,RU,63.01,scattered clouds,56.45,138.17,Gostinitsa
519,Tete,MZ,64.49,broken clouds,-16.16,33.59,Zambeze Paraíso Misterioso
520,Tautira,PF,78.82,broken clouds,-17.73,-149.15,Pension Oaoa
523,Cotonou,BJ,76.98,scattered clouds,6.37,2.42,Novotel Cotonou Orisha
526,Goderich,CA,66.9,clear sky,43.75,-81.72,Harmony Inn
527,Vilyuysk,RU,76.96,few clouds,63.76,121.62,Gostinitsa Viliuisk
528,Turka,UA,67.15,few clouds,49.15,23.03,Мотель
529,Firminy,FR,60.82,clear sky,45.39,4.29,Hôtel de la Tour et Hôtel du Pole
530,Kamyaran,IR,76.95,clear sky,34.80,46.94,Mobile Adab موبایل ادب
534,Sistranda,NO,66.16,broken clouds,63.73,8.83,Hotell Frøya
535,Faya,SA,63.25,broken clouds,18.39,42.45,املاك خالد الشعشوع
537,Mata,PT,59.79,clear sky,40.68,-7.46,Hostel EntryFik
538,Fredericton,CA,61.84,broken clouds,45.95,-66.67,"Crowne Plaza Fredericton-Lord Beaverbrook, an IHG Hotel"
543,Mnogovershinnyy,RU,78.75,overcast clouds,53.94,139.92,Obshchezhitiye 14
550,Diamantino,BR,69.17,broken clouds,-14.41,-56.45,Hotel Delta
551,Mandalgovi,MN,73.76,broken clouds,45.76,106.27,В.Ганбат
552,Bereda,ES,61.92,overcast clouds,43.27,-7.54,Pazo de Verdes
556,Snizhne,UA,69.94,clear sky,48.03,38.77,Yashoda devi
559,Agucadoura,PT,63.25,clear sky,41.43,-8.78,Varzinn Hotel
